Ticker,Company,Anios_en_top100,Precio_desde,Precio_hasta,Alerta
KHC,Kraft Heinz Co.,"2015, 2016",2015-07-31,2026-09-30,PRECIOS_EMPIEZAN_TARDE
AAPL,APPLE INC,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
NKE,"NIKE, Inc. Class B","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",2006-01-31,2026-09-30,
MRSH,"Marsh & McLennan Cos., Inc.","2022, 2023, 2024",2006-01-31,2026-09-30,
MRVL,MARVELL TECHNOLOGY INC,2026,2006-01-31,2026-09-30,
MS,MORGAN STANLEY,"2010, 2013, 2014, 2015, 2016, 2017, 2018, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
MSFT,MICROSOFT CORP,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
MU,MICRON TECHNOLOGY INC,"2021, 2024, 2025, 2026",2006-01-31,2026-09-30,
NEE,NEXTERA ENERGY INC,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
NEM,NEWMONT CORP,"2010, 2011, 2026",2006-01-31,2026-09-30,
NFLX,NETFLIX INC,"2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
NOC,Northrop Grumman Corp.,"2019, 2022",2006-01-31,2026-09-30,
MRK,MERCK + CO. INC.,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
NOV,"National-Oilwell Varco, Inc.",2012,2006-01-31,2026-09-30,
NOW,SERVICENOW INC,"2020, 2021, 2022, 2023, 2024, 2025, 2026",2012-06-30,2026-09-30,
NVDA,NVIDIA CORP,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
ORCL,ORACLE CORP,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
OXY,Occidental Petroleum Corp.,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018",2006-01-31,2026-09-30,
PANW,PALO ALTO NETWORKS INC,"2024, 2025, 2026",2012-07-31,2026-09-30,
PEP,PEPSICO INC,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
PFE,PFIZER INC,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
MRNA,"Moderna, Inc.",2021,2018-12-31,2026-09-30,
MPC,MARATHON PETROLEUM CORP,2026,2011-06-30,2026-09-30,
PGR,PROGRESSIVE CORP,"2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
LRCX,LAM RESEARCH CORP,"2021, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
KLAC,KLA CORP,"2024, 2025, 2026",2006-01-31,2026-09-30,
KMB,Kimberly-Clark Corp.,"2010, 2011, 2012, 2013, 2016",2006-01-31,2026-09-30,
KMI,"Kinder Morgan, Inc.","2015, 2016",2011-02-28,2026-09-30,
KO,COCA COLA CO/THE,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
LIN,LINDE PLC,"2010, 2011, 2012, 2013, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
LLY,ELI LILLY + CO,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
LMT,Lockheed Martin Corp.,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",2006-01-31,2026-09-30,
LOW,"Lowe's Cos., Inc.","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2006-01-31,2026-09-30,
LYB,LyondellBasell Industries NV (Class A),2014,2010-04-30,2026-09-30,
MO,ALTRIA GROUP INC,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2025, 2026",2006-01-31,2026-09-30,
MA,MASTERCARD INC   A,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-05-31,2026-09-30,
MCD,MCDONALD S CORP,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
MCK,McKesson Corp.,"2014, 2015",2006-01-31,2026-09-30,
MDLZ,"Mondelez International, Inc. Class A","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",2006-01-31,2026-09-30,
MDT,MEDTRONIC PLC,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2006-01-31,2026-09-30,
MET,"MetLife, Inc.","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",2006-01-31,2026-09-30,
META,META PLATFORMS INC CLASS A,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",2012-05-31,2026-09-30,
MMM,3M Co.,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",2006-01-31,2026-09-30,
