Year,Rank,Firma_id,Ticker,Company,Nombre_hoy,Weight,Estado,Similitud_nombre,Fuente
2010,1,XOM,XOM,Exxon Mobil Corp.,EXXONMOBIL HOLDINGS CORP,3.044,OK,1.0,Holdings SPY
2010,2,AAPL,AAPL,"Apple, Inc.",APPLE INC,2.509,OK,1.0,Holdings SPY
2010,3,MSFT,MSFT,Microsoft Corp.,MICROSOFT CORP,1.806,OK,1.0,Holdings SPY
2010,4,GE,GE,General Electric Co.,GENERAL ELECTRIC,1.681,OK,1.0,Holdings SPY
2010,5,JNJ,JNJ,Johnson & Johnson,JOHNSON + JOHNSON,1.653,OK,1.0,Holdings SPY
2010,6,PG,PG,The Procter & Gamble Co.,PROCTER + GAMBLE CO/THE,1.646,OK,1.0,Holdings SPY
2010,7,IBM,IBM,International BusinessMachines Corp.,INTL BUSINESS MACHINES CORP,1.636,OK,0.82,Holdings SPY
2010,8,T,T,"AT&T, Inc.",AT+T INC,1.635,OK,1.0,Holdings SPY
2010,9,CVX,CVX,Chevron Corp.,CHEVRON CORP,1.575,OK,1.0,Holdings SPY
2010,10,JPM,JPM,JPMorgan Chase & Co.,JPMORGAN CHASE + CO,1.46,OK,1.0,Holdings SPY
2010,11,BRK.B,BRK.B,"Berkshire Hathaway, Inc. (Class B)",BERKSHIRE HATHAWAY INC CL B,1.386,OK,1.0,Holdings SPY
2010,12,PFE,PFE,"Pfizer, Inc.",PFIZER INC,1.335,OK,1.0,Holdings SPY
2010,13,KO,KO,TheCoca-ColaCo.,COCA COLA CO/THE,1.306,MANUAL,,Holdings SPY
2010,14,WFC,WFC,Wells Fargo & Co.,WELLS FARGO + CO,1.273,OK,1.0,Holdings SPY
2010,15,BAC,BAC,Bank of America Corp.,BANK OF AMERICA CORP,1.272,OK,1.0,Holdings SPY
2010,16,GOOGL,GOOGL,"Google, Inc. (Class A)",ALPHABET INC CL A,1.266,MANUAL,,Holdings SPY
2010,17,CSCO,CSCO,"Cisco Systems, Inc.",CISCO SYSTEMS INC,1.21,OK,1.0,Holdings SPY
2010,18,MRK,MRK,"Merck & Co., Inc.",MERCK + CO. INC.,1.096,OK,1.0,Holdings SPY
2010,19,INTC,INTC,Intel Corp.,INTEL CORP,1.035,OK,1.0,Holdings SPY
2010,20,WMT,WMT,"Wal-Mart Stores, Inc.",WALMART INC,1.034,MANUAL,,Holdings SPY
2010,21,PEP,PEP,"PepsiCo, Inc.",PEPSICO INC,1.022,OK,1.0,Holdings SPY
2010,22,ORCL,ORCL,Oracle Corp.,ORACLE CORP,1.005,OK,1.0,Holdings SPY
2010,23,PM,PM,"Philip Morris International, Inc.",PHILIP MORRIS INTERNATIONAL,0.993,OK,1.0,Holdings SPY
2010,24,HPQ,HPQ,Hewlett-Packard Co.,HP INC,0.922,MANUAL,,Holdings SPY
2010,25,C,C,"Citigroup, Inc.",CITIGROUP INC,0.898,OK,1.0,Holdings SPY
2010,26,VZ,VZ,"Verizon Communications, Inc.",VERIZON COMMUNICATIONS INC,0.891,OK,1.0,Holdings SPY
2010,27,COP,COP,ConocoPhillips,CONOCOPHILLIPS,0.824,OK,1.0,Holdings SPY
2010,28,SLB,SLB,"Schlumberger, Ltd.",SLB LTD,0.814,MANUAL,,Holdings SPY
2010,29,ABT,ABT,Abbott Laboratories,ABBOTT LABORATORIES,0.78,OK,1.0,Holdings SPY
2010,30,MCD,MCD,McDonald’s Corp.,MCDONALD S CORP,0.767,OK,1.0,Holdings SPY
2010,31,GS,GS,"The Goldman Sachs Group, Inc.",GOLDMAN SACHS GROUP INC,0.72,OK,1.0,Holdings SPY
2010,32,QCOM,QCOM,"QUALCOMM, Inc.",QUALCOMM INC,0.7,OK,1.0,Holdings SPY
2010,33,RTX,RTX,United Technologies Corp.,RTX CORP,0.64,MANUAL,,Holdings SPY
2010,34,UPS,UPS,"United Parcel Service, Inc. (Class B)",UNITED PARCEL SERVICE CL B,0.639,OK,1.0,Holdings SPY
2010,35,OXY,OXY,Occidental Petroleum Corp.,OCCIDENTAL PETROLEUM CORP,0.615,OK,1.0,Holdings SPY
2010,36,DIS,DIS,The Walt Disney Co.,WALT DISNEY CO/THE,0.612,OK,1.0,Holdings SPY
2010,37,MMM,MMM,3M Co.,3M CO,0.598,OK,1.0,Holdings SPY
2010,38,AMZN,AMZN,"Amazon.com, Inc.",AMAZON.COM INC,0.538,OK,1.0,Holdings SPY
2010,39,MDLZ,MDLZ,"Kraft Foods, Inc. (Class A)",MONDELEZ INTERNATIONAL INC A,0.52,MANUAL,,Holdings SPY
2010,40,AMGN,AMGN,"Amgen, Inc.",AMGEN INC,0.511,OK,1.0,Holdings SPY
2010,41,HD,HD,"Home Depot, Inc.",HOME DEPOT INC,0.51,OK,1.0,Holdings SPY
2010,42,CMCSA,CMCSA,Comcast Corp. (Class A),COMCAST CORP CLASS A,0.491,OK,1.0,Holdings SPY
2010,43,MO,MO,"Altria Group, Inc.",ALTRIA GROUP INC,0.484,OK,1.0,Holdings SPY
2010,44,CAT,CAT,"Caterpillar, Inc.",CATERPILLAR INC,0.478,OK,1.0,Holdings SPY
2010,45,BA,BA,The Boeing Co.,BOEING CO/THE,0.47,OK,1.0,Holdings SPY
2010,46,BMY,BMY,Bristol-Myers Squibb Co.,BRISTOL MYERS SQUIBB CO,0.451,OK,1.0,Holdings SPY
2010,47,AXP,AXP,American Express Co.,AMERICAN EXPRESS CO,0.423,OK,1.0,Holdings SPY
2010,48,CVS,CVS,CVS Caremark Corp.,CVS HEALTH CORP,0.414,MANUAL,,Holdings SPY
2010,49,F,F,Ford Motor Co.,FORD MOTOR CO,0.407,OK,1.0,Holdings SPY
2010,50,SIN_EMC,,EMC Corp.,,0.404,SIN_FUENTE,,Holdings SPY
2010,51,USB,USB,U.S. Bancorp,US BANCORP,0.401,OK,1.0,Holdings SPY
2010,52,UNP,UNP,Union Pacific Corp.,UNION PACIFIC CORP,0.394,OK,1.0,Holdings SPY
2010,53,DD,DD,E. I. du Pont de Nemours & Co.,DUPONT DE NEMOURS INC,0.391,OK,0.93,Holdings SPY
2010,54,FCX,FCX,"Freeport-McMoRan Copper &Gold, Inc.",FREEPORT MCMORAN INC,0.39,OK,0.9,Holdings SPY
2010,55,EMR,EMR,Emerson Electric Co.,EMERSON ELECTRIC CO,0.384,OK,1.0,Holdings SPY
2010,56,UNH,UNH,"UnitedHealth Group, Inc.",UNITEDHEALTH GROUP INC,0.382,OK,1.0,Holdings SPY
2010,57,TGT,TGT,Target Corp.,TARGET CORP,0.373,OK,1.0,Holdings SPY
2010,58,CL,CL,Colgate-Palmolive Co.,COLGATE PALMOLIVE CO,0.361,OK,1.0,Holdings SPY
2010,59,LLY,LLY,Eli Lilly & Co.,ELI LILLY + CO,0.359,OK,1.0,Holdings SPY
2010,60,V,V,"Visa, Inc. (Class A)",VISA INC CLASS A SHARES,0.358,OK,1.0,Holdings SPY
2010,61,MDT,MDT,"Medtronic, Inc.",MEDTRONIC PLC,0.351,OK,1.0,Holdings SPY
2010,62,SIN_DIRECTV,,DIRECTV,,0.349,SIN_FUENTE,,Holdings SPY
2010,63,APA,APA,Apache Corp.,APA CORP,0.345,MANUAL,,Holdings SPY
2010,64,MET,MET,"MetLife, Inc.",METLIFE INC,0.337,OK,1.0,Holdings SPY
2010,65,MS,MS,Morgan Stanley,MORGAN STANLEY,0.334,OK,1.0,Holdings SPY
2010,66,SIN_TIME_WARNER,,"Time Warner, Inc.",,0.333,SIN_FUENTE,,Holdings SPY
2010,67,HON,HON,"Honeywell International, Inc.",HONEYWELL INTERNATIONAL INC,0.326,OK,1.0,Holdings SPY
2010,68,SIN_WALGREEN,,Walgreen Co.,,0.317,SIN_FUENTE,,Holdings SPY
2010,69,TXN,TXN,"Texas Instruments, Inc.",TEXAS INSTRUMENTS INC,0.314,OK,1.0,Holdings SPY
2010,70,BNY,BNY,The Bank of New YorkMellon Corp.,BANK OF NEW YORK MELLON CORP,0.307,MANUAL,,Holdings SPY
2010,71,SIN_DOW_CHEMICAL,,The Dow Chemical Co.,,0.307,SIN_FUENTE,,Holdings SPY
2010,72,LOW,LOW,"Lowe’s Cos., Inc.",LOWE S COS INC,0.302,OK,1.0,Holdings SPY
2010,73,NKE,NKE,"NIKE, Inc. (Class B)",NIKE INC  CL B,0.301,OK,1.0,Holdings SPY
2010,74,NEM,NEM,Newmont Mining Corp.,NEWMONT CORP,0.298,OK,0.9,Holdings SPY
2010,75,SO,SO,Southern Co.,SOUTHERN CO/THE,0.297,OK,1.0,Holdings SPY
2010,76,HAL,HAL,Halliburton Co.,HALLIBURTON CO,0.29,OK,1.0,Holdings SPY
2010,77,GILD,GILD,"Gilead Sciences, Inc.",GILEAD SCIENCES INC,0.289,OK,1.0,Holdings SPY
2010,78,SIN_NEWS,,News Corp. (Class A),,0.288,SIN_FUENTE,,Holdings SPY
2010,79,DE,DE,Deere & Co.,DEERE + CO,0.287,OK,1.0,Holdings SPY
2010,80,GLW,GLW,"Corning, Inc.",CORNING INC,0.276,OK,1.0,Holdings SPY
2010,81,COST,COST,Costco Wholesale Corp.,COSTCO WHOLESALE CORP,0.275,OK,1.0,Holdings SPY
2010,82,SIN_ANADARKO_PETROLEUM,,Anadarko Petroleum Corp.,,0.273,SIN_FUENTE,,Holdings SPY
2010,83,EBAY,EBAY,"eBay, Inc.",EBAY INC,0.273,OK,1.0,Holdings SPY
2010,84,DVN,DVN,Devon Energy Corp.,DEVON ENERGY CORP,0.272,OK,1.0,Holdings SPY
2010,85,EXC,EXC,Exelon Corp.,EXELON CORP,0.272,OK,1.0,Holdings SPY
2010,86,BAX,BAX,"Baxter International, Inc.",BAXTER INTERNATIONAL INC,0.27,OK,1.0,Holdings SPY
2010,87,LIN,LIN,"Praxair, Inc.",LINDE PLC,0.267,MANUAL,,Holdings SPY
