Ticker,Company,Frecuencia,Peso_Promedio,Rank_Global
AAPL,APPLE INC,20,4.38323195,1
MSFT,MICROSOFT CORP,20,3.3355618181818176,2
XOM,EXXONMOBIL HOLDINGS CORP,20,1.867309409090909,3
JNJ,JOHNSON + JOHNSON,20,1.4329862,4
JPM,JPMORGAN CHASE + CO,20,1.3001270476190476,5
PG,PROCTER + GAMBLE CO/THE,20,1.23709685,6
CVX,CHEVRON CORP,20,1.093194,7
T,AT+T INC,20,0.9547306956521738,8
WFC,WELLS FARGO + CO,20,0.9154202857142857,9
BAC,BANK OF AMERICA CORP,20,0.9006485454545454,10
IBM,INTL BUSINESS MACHINES CORP,20,0.89650175,11
PFE,PFIZER INC,20,0.8865369999999999,12
KO,COCA COLA CO/THE,20,0.86920725,13
CSCO,CISCO SYSTEMS INC,20,0.8390751999999999,14
VZ,VERIZON COMMUNICATIONS INC,20,0.8095434499999999,15
INTC,INTEL CORP,20,0.79727595,16
WMT,WALMART INC,20,0.7647735,17
PEP,PEPSICO INC,20,0.7479215,18
HD,HOME DEPOT INC,20,0.74424145,19
MRK,MERCK + CO. INC.,20,0.7328012173913043,20
UNH,UNITEDHEALTH GROUP INC,20,0.7299474499999999,21
C,CITIGROUP INC,20,0.6881037,22
ORCL,ORACLE CORP,20,0.663098,23
DIS,WALT DISNEY CO/THE,20,0.6133049090909091,24
LLY,ELI LILLY + CO,20,0.5974644,25
MCD,MCDONALD S CORP,20,0.57461275,26
ABT,ABBOTT LABORATORIES,20,0.5507158999999999,27
QCOM,QUALCOMM INC,20,0.5314458,28
AMGN,AMGEN INC,20,0.4971151,29
GS,GOLDMAN SACHS GROUP INC,20,0.43890155000000003,30
MDT,MEDTRONIC PLC,20,0.4059849523809524,31
GILD,GILEAD SCIENCES INC,20,0.40430645,32
TXN,TEXAS INSTRUMENTS INC,20,0.3652681,33
AXP,AMERICAN EXPRESS CO,20,0.35424625,34
GE,GENERAL ELECTRIC,19,1.1928106315789475,35
PM,PHILIP MORRIS INTERNATIONAL,19,0.6919857894736842,36
CMCSA,Comcast Corp. Class A,19,0.6226315789473684,37
COP,CONOCOPHILLIPS,19,0.468601,38
COST,COSTCO WHOLESALE CORP,19,0.46152915789473686,39
UNP,UNION PACIFIC CORP,19,0.39931294736842105,40
BMY,BRISTOL MYERS SQUIBB CO,19,0.3970801935483871,41
HON,"Honeywell International, Inc.",19,0.38205263157894737,42
CAT,CATERPILLAR INC,19,0.37025636842105264,43
LOW,"Lowe's Cos., Inc.",19,0.33273684210526316,44
AMZN,AMAZON.COM INC,18,2.2850193888888892,45
BRK.B,BERKSHIRE HATHAWAY INC CL B,18,1.4375596666666666,46
BA,BOEING CO/THE,18,0.4674229999999999,47
UPS,"United Parcel Service, Inc. Class B",18,0.436,48
V,VISA INC CLASS A SHARES,17,0.856116,49
MO,"Altria Group, Inc.",17,0.4682352941176471,50
CVS,CVS Health Corp.,17,0.40689473684210525,51
NKE,"NIKE, Inc. Class B",17,0.3643529411764706,52
MA,MASTERCARD INC   A,16,0.6899540625,53
DHR,DANAHER CORP,16,0.3301256875,54
MS,MORGAN STANLEY,16,0.3240988125,55
ABBV,ABBVIE INC,15,0.5285390476190477,56
MMM,3M Co.,15,0.48546666666666666,57
ACN,Accenture PLC Class A,15,0.4170666666666667,58
USB,US Bancorp,14,0.4105714285714286,59
SBUX,Starbucks Corp.,14,0.3469285714285714,60
CL,Colgate-Palmolive Co.,14,0.32771428571428574,61
BKNG,BOOKING HOLDINGS INC,14,0.3175115714285714,62
LMT,Lockheed Martin Corp.,14,0.30914285714285716,63
META,META PLATFORMS INC CLASS A,13,1.8343871538461538,64
SLB,Schlumberger NV,13,0.6625384615384615,65
UAL,United Technologies Corp.,13,0.5226923076923077,66
TMO,THERMO FISHER SCIENTIFIC INC,13,0.44155153846153844,67
LIN,LINDE PLC,13,0.36236315384615386,68
NEE,NEXTERA ENERGY INC,13,0.34914684615384617,69
