Year,Company,Ticker,Weight
2007,Exxon Mobil Corp,XOM,3.812
2007,General Electric Co,GE,3.146
2007,"AT&T, Inc",T,1.916
2007,Microsoft Corp,MSFT,1.765
2007,"Citigroup, Inc",C,1.723
2007,Bank of America Corp,BAC,1.65
2007,Procter & Gamble Co,PG,1.635
2007,"Cisco Systems, Inc",CSCO,1.496
2007,Chevron Corp,CVX,1.487
2007,Johnson & Johnson,JNJ,1.412
2007,"American International Group, Inc",AIG,1.298
2007,"Pfizer, Inc",PFE,1.256
2007,International Business Machines Corp,IBM,1.188
2007,JPMorgan Chase & Co,JPM,1.157
2007,Intel Corp,INTC,1.121
2007,"Altria Group, Inc",MO,1.086
2007,ConocoPhillips,COP,1.06
2007,"Apple, Inc",AAPL,0.991
2007,"Google, Inc (Class A)",GOOGL,0.971
2007,Hewlett-Packard Co,HPQ,0.953
2007,"Verizon Communications, Inc",VZ,0.949
2007,"Schlumberger, Ltd",SLB,0.929
2007,Wells Fargo & Co,WFC,0.882
2007,"PepsiCo, Inc",PEP,0.882
2007,Coca-Cola Co,KO,0.853
2007,"Merck & Co, Inc",MRK,0.835
2007,"Wal-Mart Stores, Inc",WMT,0.782
2007,Wachovia Corp,WFC,0.708
2007,"Goldman Sachs Group, Inc",GS,0.657
2007,Oracle Corp,ORCL,0.637
2007,Abbott Laboratories,ABT,0.615
2007,Boeing Co,BA,0.609
2007,"United Parcel Service, Inc (Class B)",UPS,0.591
2007,United Technologies Corp,UAL,0.59
2007,Comcast Corp (Class A),CMCSA,0.555
2007,American Express Co,AXP,0.52
2007,"QUALCOMM, Inc",QCOM,0.52
2007,"Time Warner, Inc",WBD,0.513
2007,Walt Disney Co,DIS,0.504
2007,3M Co,MMM,0.502
2007,Morgan Stanley,MS,0.49
2007,"UnitedHealth Group, Inc",UNH,0.482
2007,"Medtronic, Inc",MDT,0.48
2007,McDonald's Corp,MCD,0.48
2007,"Dell, Inc",DELL,0.463
2007,"Merrill Lynch & Co, Inc",BAC,0.46
2007,"Amgen, Inc",AMGN,0.454
2007,Wyeth,PFE,0.442
