Year,Company,Ticker,Weight,Fuente
2006,Exxon Mobil Corp,XOM,3.316,Holdings SPY
2006,General Electric Co,GE,3.036,Holdings SPY
2006,"Citigroup, Inc",C,2.042,Holdings SPY
2006,Bank of America Corp,BAC,2.022,Holdings SPY
2006,Microsoft Corp,MSFT,1.962,Holdings SPY
2006,"Pfizer, Inc",PFE,1.719,Holdings SPY
2006,Procter & Gamble Co,PG,1.635,Holdings SPY
2006,Johnson & Johnson,JNJ,1.579,Holdings SPY
2006,"American International Group, Inc",AIG,1.432,Holdings SPY
2006,JPMorgan Chase & Co,JPM,1.356,Holdings SPY
2006,"Altria Group, Inc",MO,1.333,Holdings SPY
2006,Chevron Corp,CVX,1.189,Holdings SPY
2006,"Cisco Systems, Inc",CSCO,1.168,Holdings SPY
2006,"AT&T, Inc",T,1.052,Holdings SPY
2006,International Business Machines Corp,IBM,1.036,Holdings SPY
2006,Wells Fargo & Co,WFC,1.013,Holdings SPY
2006,"Wal-Mart Stores, Inc",WMT,1.008,Holdings SPY
2006,Intel Corp,INTC,0.99,Holdings SPY
2006,"Verizon Communications, Inc",VZ,0.896,Holdings SPY
2006,"PepsiCo, Inc",PEP,0.892,Holdings SPY
2006,Hewlett-Packard Co,HPQ,0.835,Holdings SPY
2006,ConocoPhillips,COP,0.813,Holdings SPY
2006,Coca-Cola Co (The),KO,0.758,Holdings SPY
2006,"Merck & Co, Inc",MRK,0.756,Holdings SPY
2006,Wachovia Corp,WFC,0.742,Holdings SPY
2006,"Google, Inc, (Class A)",GOOGL,0.713,Holdings SPY
2006,"Amgen, Inc",AMGN,0.698,Holdings SPY
2006,Morgan Stanley,MS,0.646,Holdings SPY
2006,BellSouth Corp,T,0.646,Holdings SPY
2006,"United Parcel Service, Inc, (Class B)",UPS,0.645,Holdings SPY
2006,"Comcast Corp, (Class A)",CMCSA,0.643,Holdings SPY
2006,"Home Depot, Inc",HD,0.62,Holdings SPY
2006,Abbott Laboratories,ABT,0.617,Holdings SPY
2006,"Time Warner, Inc",WBD,0.613,Holdings SPY
2006,Schlumberger Ltd,SLB,0.611,Holdings SPY
2006,"Goldman Sachs Group, Inc",GS,0.604,Holdings SPY
2006,Oracle Corp,ORCL,0.596,Holdings SPY
2006,"Merrill Lynch & Co, Inc",BAC,0.576,Holdings SPY
2006,American Express Co,AXP,0.572,Holdings SPY
2006,Wyeth,PFE,0.566,Holdings SPY
2006,"UnitedHealth Group, Inc",UNH,0.55,Holdings SPY
2006,"Apple Computer, Inc",AAPL,0.542,Holdings SPY
2006,Disney (Walt) Co (The),DIS,0.537,Holdings SPY
2006,United Technologies Corp,UAL,0.53,Holdings SPY
2006,Boeing Co,BA,0.522,Holdings SPY
2006,"Motorola, Inc",MSI,0.511,Holdings SPY
2006,"QUALCOMM, Inc",QCOM,0.504,Holdings SPY
2006,US Bancorp,USB,0.489,Holdings SPY
2006,Tyco International Ltd,JCI,0.472,Holdings SPY
2006,Lilly (Eli) & Co,LLY,0.464,Holdings SPY
2006,3M Co,MMM,0.464,Holdings SPY
2006,Fannie Mae,FNMA,0.448,Holdings SPY
2006,"Medtronic, Inc",MDT,0.443,Holdings SPY
2006,"Dell, Inc",DELL,0.429,Holdings SPY
2006,"Texas Instruments, Inc",TXN,0.428,Holdings SPY
2006,Sprint Nextel Corp,TMUS,0.423,Holdings SPY
2006,Bristol-Myers Squibb Co,BMY,0.405,Holdings SPY
2006,McDonald's Corp,MCD,0.405,Holdings SPY
2006,"WellPoint, Inc",ELV,0.397,Holdings SPY
2006,Target Corp,TGT,0.394,Holdings SPY
2006,News Corp,NWS,0.384,Holdings SPY
2006,Freddie Mac,FMCC,0.379,Holdings SPY
2006,Walgreen Co,WBA,0.371,Holdings SPY
2006,"Caterpillar, Inc",CAT,0.364,Holdings SPY
2006,"Lowe's Companies, Inc",LOW,0.361,Holdings SPY
2006,"MetLife, Inc",MET,0.356,Holdings SPY
2006,"Washington Mutual, Inc",JPM,0.345,Holdings SPY
2006,Occidental Petroleum Corp,OXY,0.341,Holdings SPY
2006,Exelon Corp,EXC,0.335,Holdings SPY
2006,Allstate Corp,ALL,0.33,Holdings SPY
2006,"Lehman Brothers Holdings, Inc",LEHKQ,0.329,Holdings SPY
2006,Du Pont (EI) de Nemours,DD,0.326,Holdings SPY
2006,Duke Energy Corp,DUK,0.315,Holdings SPY
2006,"Corning, Inc",GLW,0.315,Holdings SPY
2006,"Prudential Financial, Inc",PRU,0.311,Holdings SPY
2006,Dow Chemical Co,DOW,0.311,Holdings SPY
2006,"Anheuser-Busch Cos, Inc",BUD,0.304,Holdings SPY
2006,Emerson Electric Co,EMR,0.284,Holdings SPY
2006,"Honeywell International, Inc",HON,0.28,Holdings SPY
2006,"eBay, Inc",EBAY,0.277,Holdings SPY
2006,FedEx Corp,FDX,0.274,Holdings SPY
